type,query,truth
radio,Query: Select exactly one option (a-e) that best describes the relationship of The State of Kansas in relation to Zipcode 68352 in terms of geography. Options: a. adjacent to and southwest of b. adjacent to and northeast of c. northeast of d. contains e. none of the above,a
yes/no,Is Lawrence County South Dakota adjacent to and west of Zipcode 82712?,no
checkbox,Query: Select all options that are west of Cochise County Arizona? You may choose one or more options. Options: a. Zipcode 85602 b. Zipcode 85609 c. Zipcode 85611 d. Zipcode 88040 e. None of the above,d
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 95637 in relation to Zipcode 95606 in terms of geography. Options: a. adjacent to and southwest of b. adjacent to and north of c. adjacent to and east of d. adjacent to and northwest of e. none of the above,d
radio,Query: Select exactly one option (a-e) that best describes the relationship of Nicholas County West Virginia in relation to Zipcode 25035 in terms of geography. Options: a. inside of b. adjacent to and northeast of c. west of d. southwest of e. none of the above,e
yes/no,Is Zipcode 12981 east of Zipcode 12962?,no
radio,Query: Select exactly one option (a-e) that best describes the relationship of Waller County Texas in relation to The State of Texas in terms of geography. Options: a. inside of b. adjacent to and southwest of c. south of d. adjacent to and northwest of e. none of the above,a
yes/no,Is Zipcode 54830 adjacent to and south of Zipcode 54836?,yes
checkbox,Query: Select all options that are adjacent to and southeast of Zipcode 44310? You may choose one or more options. Options: a. Zipcode 44305 b. Zipcode 44307 c. Zipcode 44313 d. Zipcode 44302 e. None of the above,e
radio,Query: Select exactly one option (a-e) that best describes the relationship of Titus County Texas in relation to Zipcode 75550 in terms of geography. Options: a. adjacent to and south of b. east of c. northwest of d. adjacent to and southwest of e. none of the above,a
radio,Query: Select exactly one option (a-e) that best describes the relationship of Douglas County Illinois in relation to The State of Indiana in terms of geography. Options: a. adjacent to and north of b. southwest of c. adjacent to and east of d. adjacent to and northeast of e. none of the above,e
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 88321 in relation to Zipcode 88301 in terms of geography. Options: a. west of b. inside of c. adjacent to and north of d. adjacent to and northwest of e. none of the above,c
checkbox,Query: Select all options that are adjacent to and southwest of Zipcode 95482? You may choose one or more options. Options: a. Zipcode 95432 b. Zipcode 95415 c. Zipcode 95494 d. Zipcode 95453 e. None of the above,e
checkbox,Query: Select all options that intersect with Putnam County Indiana? You may choose one or more options. Options: a. Zipcode 46175 b. Zipcode 47868 c. Zipcode 47456 d. Zipcode 47460 e. None of the above,"a,b,c"
yes/no,Is Zipcode 62938 adjacent to and northeast of Zipcode 62960?,yes
checkbox,Query: Select all options that are adjacent to and northwest of The State of Arkansas? You may choose one or more options. Options: a. Zipcode 72335 b. Zipcode 38701 c. The State of Mississippi d. Zipcode 38748 e. None of the above,"b,c,d"
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 01609 in relation to Zipcode 01602 in terms of geography. Options: a. adjacent to and east of b. adjacent to and northeast of c. east of d. southwest of e. none of the above,b
radio,Query: Select exactly one option (a-e) that best describes the relationship of The State of New York in relation to Zipcode 16859 in terms of geography. Options: a. adjacent to and north of b. northeast of c. northwest of d. adjacent to and northwest of e. none of the above,b
radio,Query: Select exactly one option (a-e) that best describes the relationship of Bulloch County Georgia in relation to Zipcode 31322 in terms of geography. Options: a. north of b. northwest of c. inside of d. adjacent to and northeast of e. none of the above,b
radio,Query: Select exactly one option (a-e) that best describes the relationship of Custer County Colorado in relation to Zipcode 81253 in terms of geography. Options: a. southwest of b. north of c. northeast of d. adjacent to and west of e. none of the above,e
checkbox,Query: Select all options that are adjacent to and west of Milwaukee County Wisconsin? You may choose one or more options. Options: a. Ottawa County Michigan b. The State of Michigan c. Zipcode 53120 d. Zipcode 53702 e. None of the above,a
checkbox,Query: Select all options that are west of Rockingham County New Hampshire? You may choose one or more options. Options: a. Zipcode 03910 b. Zipcode 03835 c. Zipcode 03258 d. York County Maine e. None of the above,a
radio,Query: Select exactly one option (a-e) that best describes the relationship of Monroe County Indiana in relation to Clay County Indiana in terms of geography. Options: a. adjacent to and northwest of b. adjacent to and west of c. west of d. east of e. none of the above,d
yes/no,Is Zipcode 22714 adjacent to and north of Zipcode 22741?,yes
checkbox,Query: Select all options that are west of The State of Missouri? You may choose one or more options. Options: a. Zipcode 62988 b. Zipcode 66608 c. Zipcode 66080 d. Zipcode 72459 e. None of the above,a
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 15219 in relation to Zipcode 15220 in terms of geography. Options: a. adjacent to and northwest of b. inside of c. south of d. adjacent to and east of e. none of the above,d
radio,Query: Select exactly one option (a-e) that best describes the relationship of The State of Missouri in relation to Zipcode 62351 in terms of geography. Options: a. north of b. adjacent to and west of c. northwest of d. adjacent to and north of e. none of the above,e
yes/no,Is The State of Louisiana southwest of Zipcode 39323?,yes
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 79343 in relation to Zipcode 79356 in terms of geography. Options: a. east of b. northwest of c. adjacent to and west of d. adjacent to and north of e. none of the above,b
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 21218 in relation to Zipcode 21210 in terms of geography. Options: a. adjacent to and southeast of b. adjacent to and southwest of c. north of d. contains e. none of the above,a
yes/no,Is Zipcode 39348 adjacent to and west of Zipcode 39422?,no
checkbox,Query: Select all options that are adjacent to and northeast of Zipcode 81324? You may choose one or more options. Options: a. Zipcode 81331 b. Zipcode 81335 c. Zipcode 81320 d. Zipcode 84511 e. None of the above,e
checkbox,Query: Select all options that are northeast of Zipcode 70526? You may choose one or more options. Options: a. Zipcode 70534 b. Zipcode 70548 c. Zipcode 70515 d. Zipcode 70578 e. None of the above,e
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 55303 in relation to Zipcode 55070 in terms of geography. Options: a. adjacent to and south of b. east of c. adjacent to and northwest of d. they intersect e. none of the above,a
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 49434 in relation to Zipcode 49424 in terms of geography. Options: a. north of b. they intersect c. contains d. adjacent to and southwest of e. none of the above,d
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 66015 in relation to Zipcode 66751 in terms of geography. Options: a. inside of b. adjacent to and northwest of c. south of d. adjacent to and west of e. none of the above,b
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 16201 in relation to Zipcode 16249 in terms of geography. Options: a. adjacent to and southwest of b. they intersect c. northwest of d. adjacent to and east of e. none of the above,e
checkbox,Query: Select all options that are adjacent to and southwest of Zipcode 35633? You may choose one or more options. Options: a. Zipcode 35660 b. Zipcode 35616 c. Zipcode 38463 d. Zipcode 38452 e. None of the above,c
checkbox,Query: Select all options that are inside of Meigs County Ohio? You may choose one or more options. Options: a. Zipcode 45614 b. Zipcode 45631 c. Zipcode 45723 d. Zipcode 25252 e. None of the above,e
checkbox,Query: Select all options that intersect with The State of Washington? You may choose one or more options. Options: a. Zipcode 99128 b. Zipcode 83856 c. Zipcode 99362 d. Zipcode 99218 e. None of the above,"a,c"
radio,Query: Select exactly one option (a-e) that best describes the relationship of Kimble County Texas in relation to Zipcode 76950 in terms of geography. Options: a. southeast of b. adjacent to and north of c. adjacent to and east of d. north of e. none of the above,c
checkbox,Query: Select all options that are northeast of Bergen County New Jersey? You may choose one or more options. Options: a. Essex County New Jersey b. Zipcode 11423 c. Zipcode 10153 d. Zipcode 11351 e. None of the above,e
checkbox,Query: Select all options that are adjacent to and southwest of Fayette County Kentucky? You may choose one or more options. Options: a. Garrard County Kentucky b. Zipcode 40506 c. Jessamine County Kentucky d. Zipcode 40372 e. None of the above,e
radio,Query: Select exactly one option (a-e) that best describes the relationship of Gage County Nebraska in relation to Marshall County Kansas in terms of geography. Options: a. adjacent to and west of b. adjacent to and north of c. east of d. adjacent to and south of e. none of the above,b
checkbox,Query: Select all options that are adjacent to and east of Zipcode 06457? You may choose one or more options. Options: a. Zipcode 06037 b. Zipcode 06481 c. Zipcode 06492 d. Zipcode 06450 e. None of the above,"b,d"
radio,Query: Select exactly one option (a-e) that best describes the relationship of Lebanon County Pennsylvania in relation to Zipcode 17102 in terms of geography. Options: a. adjacent to and west of b. northwest of c. east of d. north of e. none of the above,c
checkbox,Query: Select all options that are adjacent to and northeast of Zipcode 45217? You may choose one or more options. Options: a. Zipcode 45229 b. Zipcode 45216 c. Zipcode 45237 d. Zipcode 45207 e. None of the above,e
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 25404 in relation to Zipcode 21795 in terms of geography. Options: a. southwest of b. adjacent to and northwest of c. northeast of d. adjacent to and southwest of e. none of the above,d
checkbox,Query: Select all options that are inside of Jackson County South Dakota? You may choose one or more options. Options: a. Zipcode 57562 b. Zipcode 57775 c. Bennett County South Dakota d. Pennington County South Dakota e. None of the above,e
yes/no,Is Zipcode 69032 adjacent to and west of Zipcode 69045?,no
yes/no,Is Zipcode 23308 west of Zipcode 23302?,yes
radio,Query: Select exactly one option (a-e) that best describes the relationship of Clark County Ohio in relation to Zipcode 45502 in terms of geography. Options: a. they intersect b. south of c. intersects with d. northeast of e. none of the above,c
yes/no,Is Zipcode 66102 northwest of Zipcode 66103?,yes
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 50213 in relation to Zipcode 50108 in terms of geography. Options: a. contains b. adjacent to and northeast of c. south of d. west of e. none of the above,b
yes/no,Is Zipcode 25063 adjacent to and west of Zipcode 25113?,no
radio,Query: Select exactly one option (a-e) that best describes the relationship of Chester County Pennsylvania in relation to Zipcode 19468 in terms of geography. Options: a. southeast of b. adjacent to and southwest of c. adjacent to and north of d. adjacent to and south of e. none of the above,b
yes/no,Is Carson County Texas southeast of Zipcode 79078?,yes
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 65781 in relation to Zipcode 65612 in terms of geography. Options: a. adjacent to and northwest of b. adjacent to and southwest of c. inside of d. adjacent to and northeast of e. none of the above,d
checkbox,Query: Select all options that are adjacent to and northwest of Zipcode 82422? You may choose one or more options. Options: a. Zipcode 82431 b. Zipcode 82411 c. Zipcode 82426 d. Zipcode 82410 e. None of the above,d
checkbox,Query: Select all options that are adjacent to and southeast of Zipcode 84306? You may choose one or more options. Options: a. Zipcode 84334 b. Zipcode 84304 c. Zipcode 84325 d. Zipcode 84309 e. None of the above,e
checkbox,Query: Select all options that are adjacent to and south of Zipcode 58227? You may choose one or more options. Options: a. Zipcode 58270 b. Zipcode 58210 c. Zipcode 58260 d. Zipcode 58249 e. None of the above,e
checkbox,Query: Select all options that are adjacent to and northwest of Plymouth County Iowa? You may choose one or more options. Options: a. Zipcode 51012 b. Zipcode 51048 c. Zipcode 51027 d. Woodbury County Iowa e. None of the above,"b,d"
checkbox,Query: Select all options that are adjacent to and southeast of The State of West Virginia? You may choose one or more options. Options: a. Zipcode 45692 b. Zipcode 45742 c. Zipcode 45723 d. Zipcode 15486 e. None of the above,"b,c"
yes/no,"Sullivan County New York is inside of Zipcode 12784, correct?",no
radio,Query: Select exactly one option (a-e) that best describes the relationship of Perry County Missouri in relation to Zipcode 63781 in terms of geography. Options: a. north of b. adjacent to and north of c. adjacent to and northwest of d. adjacent to and northeast of e. none of the above,d
yes/no,Is Zipcode 62546 northeast of Zipcode 62560?,yes
checkbox,Query: Select all options that are adjacent to and west of Zipcode 59050? You may choose one or more options. Options: a. Zipcode 82838 b. Zipcode 82431 c. Zipcode 59016 d. Zipcode 59031 e. None of the above,c
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 18337 in relation to Zipcode 12780 in terms of geography. Options: a. contains b. south of c. west of d. adjacent to and northeast of e. none of the above,e
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 15936 in relation to Zipcode 15937 in terms of geography. Options: a. adjacent to and northwest of b. northwest of c. southeast of d. east of e. none of the above,c
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 97451 in relation to Zipcode 97487 in terms of geography. Options: a. inside of b. adjacent to and southeast of c. southeast of d. adjacent to and west of e. none of the above,c
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 29053 in relation to Zipcode 29061 in terms of geography. Options: a. adjacent to and west of b. adjacent to and northwest of c. adjacent to and south of d. adjacent to and northeast of e. none of the above,a
checkbox,Query: Select all options that are adjacent to and southeast of Zipcode 77458? You may choose one or more options. Options: a. Zipcode 77419 b. Zipcode 77456 c. Zipcode 77414 d. Zipcode 77440 e. None of the above,e
yes/no,Is The State of Kentucky south of Zipcode 47022?,yes
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 64742 in relation to Zipcode 64720 in terms of geography. Options: a. south of b. adjacent to and east of c. adjacent to and northwest of d. adjacent to and north of e. none of the above,c
checkbox,Query: Select all options that are north of Broward County Florida? You may choose one or more options. Options: a. Zipcode 33162 b. Zipcode 33301 c. Zipcode 33178 d. Zipcode 33313 e. None of the above,c
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 06610 in relation to Zipcode 06615 in terms of geography. Options: a. adjacent to and northwest of b. they intersect c. northwest of d. north of e. none of the above,a
checkbox,Query: Select all options that are adjacent to and south of Zipcode 44484? You may choose one or more options. Options: a. Zipcode 44473 b. Zipcode 44485 c. Zipcode 44483 d. Zipcode 44420 e. None of the above,e
checkbox,Query: Select all options that are adjacent to and northeast of Clay County West Virginia? You may choose one or more options. Options: a. Zipcode 26656 b. Zipcode 25110 c. Zipcode 25285 d. Webster County West Virginia e. None of the above,"a,b"
yes/no,Is The State of Louisiana adjacent to and northeast of Zipcode 39180?,no
yes/no,Is Zipcode 35151 adjacent to and south of Zipcode 35136?,no
checkbox,Query: Select all options that are inside of Oconee County South Carolina? You may choose one or more options. Options: a. Zipcode 30557 b. Zipcode 30577 c. Zipcode 29658 d. Zipcode 29664 e. None of the above,"c,d"
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 33538 in relation to Zipcode 34785 in terms of geography. Options: a. southwest of b. adjacent to and southeast of c. southeast of d. adjacent to and west of e. none of the above,d
checkbox,Query: Select all options that are adjacent to and north of Mason County Michigan? You may choose one or more options. Options: a. Zipcode 49454 b. Zipcode 49644 c. Zipcode 49634 d. Zipcode 49638 e. None of the above,e
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 38261 in relation to Zipcode 38260 in terms of geography. Options: a. southwest of b. northeast of c. contains d. adjacent to and northeast of e. none of the above,d
checkbox,Query: Select all options that are adjacent to and northeast of Zipcode 72853? You may choose one or more options. Options: a. Zipcode 72834 b. Zipcode 72824 c. Zipcode 72860 d. Zipcode 72833 e. None of the above,e
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 58762 in relation to Zipcode 58789 in terms of geography. Options: a. adjacent to and northwest of b. adjacent to and north of c. adjacent to and east of d. adjacent to and south of e. none of the above,a
checkbox,Query: Select all options that are northwest of Zipcode 95624? You may choose one or more options. Options: a. Zipcode 95828 b. Zipcode 95757 c. Zipcode 95638 d. Zipcode 95824 e. None of the above,c
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 52053 in relation to Zipcode 52040 in terms of geography. Options: a. adjacent to and west of b. northeast of c. east of d. adjacent to and north of e. none of the above,b
yes/no,Is Zipcode 71405 adjacent to and southeast of Zipcode 71360?,no
checkbox,Query: Select all options that are inside of Marion County Kentucky? You may choose one or more options. Options: a. Zipcode 40107 b. Zipcode 40484 c. Zipcode 40464 d. Zipcode 42740 e. None of the above,e
checkbox,Query: Select all options that are adjacent to and east of Zipcode 47129? You may choose one or more options. Options: a. Zipcode 40212 b. Zipcode 47130 c. Zipcode 40211 d. Zipcode 47172 e. None of the above,e
radio,Query: Select exactly one option (a-e) that best describes the relationship of Carroll County Ohio in relation to Zipcode 44705 in terms of geography. Options: a. adjacent to and north of b. inside of c. adjacent to and east of d. west of e. none of the above,e
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 73092 in relation to Zipcode 73079 in terms of geography. Options: a. adjacent to and southwest of b. inside of c. southwest of d. northwest of e. none of the above,a
radio,Query: Select exactly one option (a-e) that best describes the relationship of Grant County Arkansas in relation to Zipcode 72057 in terms of geography. Options: a. adjacent to and southwest of b. contains c. west of d. adjacent to and east of e. none of the above,b
yes/no,Is Zipcode 15323 north of Zipcode 15337?,yes
yes/no,Is Zipcode 18438 northwest of Zipcode 18464?,yes
checkbox,Query: Select all options that are adjacent to and southeast of Zipcode 21657? You may choose one or more options. Options: a. Zipcode 21617 b. Zipcode 21629 c. Zipcode 21625 d. Zipcode 21660 e. None of the above,a
checkbox,Query: Select all options that are northwest of Polk County Georgia? You may choose one or more options. Options: a. Zipcode 30184 b. Zipcode 35960 c. Zipcode 30179 d. Zipcode 36262 e. None of the above,c
yes/no,Is Zipcode 12451 northeast of Zipcode 12463?,yes
yes/no,Is The State of New York south of Zipcode 18086?,no
yes/no,Is Williamson County Tennessee adjacent to and northwest of Cheatham County Tennessee?,no
checkbox,Query: Select all options that are adjacent to and west of Zipcode 65078? You may choose one or more options. Options: a. Zipcode 65037 b. Zipcode 65301 c. Zipcode 65345 d. Zipcode 65338 e. None of the above,e
yes/no,Is Zipcode 30820 southeast of Zipcode 30434?,no
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 34239 in relation to Zipcode 34231 in terms of geography. Options: a. contains b. adjacent to and north of c. inside of d. adjacent to and southeast of e. none of the above,b
checkbox,Query: Select all options that are adjacent to and southwest of Dutchess County New York? You may choose one or more options. Options: a. Zipcode 12507 b. Zipcode 12527 c. Zipcode 06801 d. Zipcode 06069 e. None of the above,e
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 31503 in relation to Zipcode 31550 in terms of geography. Options: a. adjacent to and east of b. adjacent to and northwest of c. south of d. southeast of e. none of the above,a
yes/no,Is Mendocino County California adjacent to and southeast of Sonoma County California?,no
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 11973 in relation to Zipcode 11961 in terms of geography. Options: a. southwest of b. adjacent to and south of c. contains d. adjacent to and north of e. none of the above,b
radio,Query: Select exactly one option (a-e) that best describes the relationship of Saint Louis County Minnesota in relation to Zipcode 56668 in terms of geography. Options: a. adjacent to and east of b. adjacent to and northeast of c. southeast of d. adjacent to and west of e. none of the above,c
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 41132 in relation to Zipcode 41168 in terms of geography. Options: a. adjacent to and southwest of b. adjacent to and south of c. adjacent to and west of d. they intersect e. none of the above,a
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 37022 in relation to Zipcode 37031 in terms of geography. Options: a. east of b. adjacent to and north of c. adjacent to and northeast of d. southwest of e. none of the above,b
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 28152 in relation to Zipcode 28076 in terms of geography. Options: a. southeast of b. northwest of c. east of d. west of e. none of the above,c
yes/no,"San Bernardino County California has no common ground with Zipcode 92373, correct?",no
yes/no,Is New York County New York east of Zipcode 11024?,no
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 18245 in relation to Zipcode 18201 in terms of geography. Options: a. they intersect b. southeast of c. inside of d. southwest of e. none of the above,d
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 20018 in relation to Zipcode 20009 in terms of geography. Options: a. north of b. adjacent to and north of c. adjacent to and southwest of d. east of e. none of the above,d
yes/no,Is Zipcode 77964 adjacent to and south of Zipcode 78956?,yes
checkbox,Query: Select all options that are adjacent to and southwest of Zipcode 98243? You may choose one or more options. Options: a. Zipcode 98261 b. Zipcode 98280 c. Zipcode 98286 d. Zipcode 98250 e. None of the above,e
radio,Query: Select exactly one option (a-e) that best describes the relationship of The State of Alabama in relation to The State of Mississippi in terms of geography. Options: a. adjacent to and east of b. northeast of c. northwest of d. contains e. none of the above,a
checkbox,Query: Select all options that are southeast of Craven County North Carolina? You may choose one or more options. Options: a. Zipcode 28538 b. Greene County North Carolina c. Zipcode 27858 d. Pitt County North Carolina e. None of the above,"a,b,c"
checkbox,Query: Select all options that are adjacent to and west of Zipcode 14512? You may choose one or more options. Options: a. Zipcode 14808 b. Zipcode 14471 c. Zipcode 14560 d. Zipcode 14826 e. None of the above,e
yes/no,Is Zipcode 06784 adjacent to and south of Zipcode 06755?,yes
checkbox,Query: Select all options that are adjacent to and south of Zipcode 49665? You may choose one or more options. Options: a. Zipcode 48625 b. Zipcode 49679 c. Zipcode 49655 d. Zipcode 49688 e. None of the above,e
yes/no,Is Zipcode 33306 east of Zipcode 33309?,yes
yes/no,Is Macon County Missouri west of Zipcode 63468?,yes
yes/no,Is Zipcode 88349 west of Zipcode 88310?,no
radio,Query: Select exactly one option (a-e) that best describes the relationship of Warren County New Jersey in relation to Zipcode 18032 in terms of geography. Options: a. northwest of b. adjacent to and northwest of c. north of d. northeast of e. none of the above,d
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 76305 in relation to Zipcode 73548 in terms of geography. Options: a. adjacent to and southeast of b. south of c. southwest of d. west of e. none of the above,c
yes/no,Is New Madrid County Missouri adjacent to and west of Zipcode 63837?,no
checkbox,Query: Select all options that are east of Zipcode 95606? You may choose one or more options. Options: a. Zipcode 94567 b. Zipcode 95637 c. Zipcode 94558 d. Zipcode 95607 e. None of the above,a
yes/no,Is Zipcode 44481 southwest of Zipcode 44429?,no
checkbox,Query: Select all options that are northeast of Madison County Arkansas? You may choose one or more options. Options: a. Zipcode 72949 b. Zipcode 72756 c. Zipcode 72701 d. Zipcode 72946 e. None of the above,d
yes/no,"Ballard County Kentucky is inside of Zipcode 42087, correct?",no
checkbox,Query: Select all options that are east of Wood County West Virginia? You may choose one or more options. Options: a. Zipcode 45770 b. Zipcode 45750 c. Zipcode 45772 d. Mason County West Virginia e. None of the above,e
radio,Query: Select exactly one option (a-e) that best describes the relationship of Westchester County New York in relation to Zipcode 07022 in terms of geography. Options: a. adjacent to and southeast of b. northeast of c. adjacent to and south of d. adjacent to and southwest of e. none of the above,b
checkbox,Query: Select all options that are adjacent to and northwest of Kit Carson County Colorado? You may choose one or more options. Options: a. Wallace County Kansas b. Zipcode 80740 c. Cheyenne County Kansas d. Zipcode 80812 e. None of the above,a
checkbox,Query: Select all options that are adjacent to and north of Zipcode 01852? You may choose one or more options. Options: a. Zipcode 01862 b. Zipcode 01824 c. Zipcode 01876 d. Zipcode 01826 e. None of the above,a
checkbox,Query: Select all options that are southeast of Zipcode 63026? You may choose one or more options. Options: a. Zipcode 63010 b. Zipcode 63126 c. Zipcode 63119 d. Zipcode 63122 e. None of the above,e
yes/no,Is Zipcode 21758 adjacent to and south of Zipcode 20180?,no
checkbox,Query: Select all options that are adjacent to and northwest of Zipcode 36079? You may choose one or more options. Options: a. Zipcode 36009 b. Zipcode 36010 c. Zipcode 36323 d. Zipcode 36049 e. None of the above,b
yes/no,Is The State of Virginia northwest of Zipcode 26321?,no
checkbox,Query: Select all options that are inside of Walker County Alabama? You may choose one or more options. Options: a. Zipcode 35118 b. Zipcode 35130 c. Zipcode 35504 d. Zipcode 35180 e. None of the above,e
radio,Query: Select exactly one option (a-e) that best describes the relationship of The State of California in relation to Zipcode 95035 in terms of geography. Options: a. northeast of b. adjacent to and west of c. south of d. adjacent to and northeast of e. none of the above,e
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 92675 in relation to Zipcode 92688 in terms of geography. Options: a. south of b. east of c. adjacent to and south of d. north of e. none of the above,a
checkbox,Query: Select all options that are inside of Tallapoosa County Alabama? You may choose one or more options. Options: a. Zipcode 36879 b. Zipcode 36861 c. Zipcode 36026 d. The State of Alabama e. None of the above,d
checkbox,Query: Select all options that are southwest of Zipcode 22734? You may choose one or more options. Options: a. Zipcode 22728 b. Zipcode 20119 c. Zipcode 22736 d. Zipcode 22701 e. None of the above,"a,b"
checkbox,Query: Select all options that are adjacent to and south of Zipcode 12760? You may choose one or more options. Options: a. Zipcode 12723 b. Zipcode 13774 c. Zipcode 12766 d. Zipcode 12741 e. None of the above,e
yes/no,Is Zipcode 29651 adjacent to and southwest of Zipcode 29650?,no
yes/no,Is Mecklenburg County North Carolina south of Zipcode 28682?,yes
yes/no,Is Zipcode 51301 adjacent to and west of Zipcode 51333?,yes
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 86503 in relation to Zipcode 86547 in terms of geography. Options: a. northwest of b. they intersect c. east of d. southwest of e. none of the above,d
checkbox,Query: Select all options that are southeast of The State of Georgia? You may choose one or more options. Options: a. Zipcode 36264 b. Zipcode 29669 c. Zipcode 37347 d. Zipcode 37340 e. None of the above,"a,c,d"
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 54974 in relation to Zipcode 54932 in terms of geography. Options: a. adjacent to and southwest of b. contains c. east of d. north of e. none of the above,a
checkbox,Query: Select all options that are northwest of Zipcode 30338? You may choose one or more options. Options: a. Zipcode 30022 b. Zipcode 30076 c. Zipcode 30341 d. Zipcode 30360 e. None of the above,e
radio,Query: Select exactly one option (a-e) that best describes the relationship of New London County Connecticut in relation to Zipcode 06390 in terms of geography. Options: a. adjacent to and east of b. adjacent to and southeast of c. contains d. northeast of e. none of the above,e
checkbox,Query: Select all options that are adjacent to and east of Zipcode 49327? You may choose one or more options. Options: a. Zipcode 49303 b. Zipcode 49451 c. Zipcode 49319 d. Zipcode 49425 e. None of the above,d
checkbox,Query: Select all options that are adjacent to and east of Zipcode 80233? You may choose one or more options. Options: a. Zipcode 80031 b. Zipcode 80640 c. Zipcode 80603 d. Zipcode 80234 e. None of the above,d
yes/no,Is Zipcode 79928 adjacent to and northeast of Zipcode 79836?,yes
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 72645 in relation to Zipcode 72639 in terms of geography. Options: a. south of b. east of c. adjacent to and east of d. they intersect e. none of the above,a
radio,Query: Select exactly one option (a-e) that best describes the relationship of Mendocino County California in relation to Zipcode 95451 in terms of geography. Options: a. adjacent to and north of b. adjacent to and northwest of c. southeast of d. they intersect e. none of the above,b
yes/no,Is Neshoba County Mississippi southwest of Zipcode 39341?,yes
checkbox,Query: Select all options that are east of Zipcode 85935? You may choose one or more options. Options: a. Zipcode 85901 b. Zipcode 85940 c. Zipcode 85941 d. Zipcode 85930 e. None of the above,e
checkbox,Query: Select all options that are southwest of Montgomery County North Carolina? You may choose one or more options. Options: a. Zipcode 27207 b. Zipcode 28127 c. Chatham County North Carolina d. Zipcode 28137 e. None of the above,"a,c"
radio,Query: Select exactly one option (a-e) that best describes the relationship of Gratiot County Michigan in relation to Zipcode 48626 in terms of geography. Options: a. adjacent to and southwest of b. adjacent to and northeast of c. west of d. northeast of e. none of the above,c
yes/no,Is The State of New York northeast of Zipcode 16238?,yes
yes/no,Is Zipcode 74442 adjacent to and northeast of Zipcode 74432?,no
yes/no,"Shiawassee County Michigan has no common ground with Zipcode 48840, correct?",no
checkbox,Query: Select all options that are adjacent to and south of Zipcode 15828? You may choose one or more options. Options: a. Zipcode 16239 b. Zipcode 15825 c. Zipcode 15860 d. Zipcode 16233 e. None of the above,a
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 14604 in relation to Zipcode 14610 in terms of geography. Options: a. adjacent to and northwest of b. adjacent to and south of c. west of d. adjacent to and west of e. none of the above,c
radio,Query: Select exactly one option (a-e) that best describes the relationship of Zipcode 26452 in relation to Zipcode 26384 in terms of geography. Options: a. adjacent to and west of b. adjacent to and east of c. east of d. adjacent to and north of e. none of the above,b
radio,Query: Select exactly one option (a-e) that best describes the relationship of Caldwell County Texas in relation to Zipcode 78659 in terms of geography. Options: a. east of b. northwest of c. inside of d. southwest of e. none of the above,d
radio,Query: Select exactly one option (a-e) that best describes the relationship of Suffolk County New York in relation to Zipcode 11786 in terms of geography. Options: a. adjacent to and southwest of b. south of c. inside of d. contains e. none of the above,d
yes/no,Is Zipcode 27106 adjacent to and south of Zipcode 27045?,yes
